DataElementId,Collection,Collection Data Element Number,Collection Frame,Classification,Data Element,Definition,Collection Short Name,Population,Coding Data  Type,Size,Coding Format,Guide for Use,System Requirements,Standards Used,Related Items,Rules,Comments,Authoritative Source,Where used or published,Custodian of DataSet,Reference to Standards,SIF Object,SIF Element,Data Element Type,SIFFrame,Could be mapped at RAW,,,,,,,,,,,,,,,
24,NSSC URL,17,Enrolment,Raw,Parent/Guardian 2 School Education,The highest level of primary or secondary education attained by the student’s parent/guardian 2.,PG_SCHED2,All Active Enrolments,"Categorical, Numeric",1,"N
1 = Year 9 or equivalent or below
2 = Year 10 or equivalent
3 = Year 11 or equivalent
4 = Year 12 or equivalent
9 = Not stated/Unknown","School education means primary or secondary education, regardless of the location or institution where it was undertaken.
It includes study at a secondary education level that might, for example, be undertaken at a Technical and Further Education (TAFE) institution.
For persons who have never attended school, include in the 'Year 9 or equivalent or below' category.",Data is valid to 1 numeral only. Data is categorical; entries other than prescribed are not valid,"SCSEEC 2010 Data Standards Manual
Isn't there an ABS Standard?","Enrolment Frame
16 - Parent/Guardian 1 School Education (PG_SCHED1) 
18 - Parent/Guardian 1 Highest Non School Education or Qualification (PG_NSCHED1) 
19 - Parent/Guardian 2 Highest Non School Education or Qualification (PG_NSCHED2) 

Enrolment Derived
6 - Highest Education Attainment of Parent/Guardian 1 (PGD_PGED1)
7 - Highest Education Attainment of Parent/Guardian 2 (PGD_PGED2)",,,School Enrolling Student,,,,StudentPersonal,MostRecent/Parent2SchoolEducationLevel,Descriptor,Student,,,,,,,,,,,,,,,,
25,NSSC URL,18,Enrolment,Raw,Parent/Guardian 1 Highest Non- School Education or Qualification,The highest level of post-school qualification attained by the student's parent/guardian 1.,PG_NSCHED1,All Active Enrolments,"Categorical, Numeric",1,"N
5  = Certificate I to IV (including trade certificate)
6  = Advanced diploma/Diploma
7  = Bachelor degree or above
8  = No non-school qualification
9  = Not stated/unknown","Primary and secondary education is not counted as non-school qualifications, regardless of the location or institution where the study was undertaken.
For example, secondary education undertaken as a mature-age student at a Technical and Further Education (TAFE) institution is considered school education.
Include non-school qualifications (such as Certificate I) completed by parents/guardians when at school. 
",Data is valid to 1 numeral only. Data is categorical; entries other than prescribed are not valid.,"SCSEEC 2010 Data Standards Manual
Isn't there an ABS Standard?","Enrolment Frame
16 - Parent/Guardian 1 School Education (PG_SCHED1) 
17 - Parent/Guardian 2 School Education (PG_SCHED2) 
19 - Parent/Guardian 2 Highest Non School Education or Qualification (PG_NSCHED2) 
Enrolment Derived
6 - Highest Education Attainment of Parent/Guardian 1 (PGD_PGED1)
7 - Highest Education Attainment of Parent/Guardian 2 (PGD_PGED2)",,,School Enrolling Student,,,,StudentPersonal,MostRecent/Parent1NonSchoolEducation,Descriptor,Student,,,,,,,,,,,,,,,,
26,NSSC URL,19,Enrolment,Raw,Parent/Guardian 2 Highest Non- School Education or Qualification,The highest level of post-school qualification attained by the student's parent/guardian 2.,PG_NSCHED2,All Active Enrolments,"Categorical, Numeric",1,"N
5  = Certificate I to IV (including trade certificate)
6  = Advanced diploma/Diploma
7  = Bachelor degree or above
8  = No non-school qualification
9  = Not stated/unknown","Primary and secondary education is not counted as non-school qualifications, regardless of the location or institution where the study was undertaken.
For example, secondary education undertaken as a mature-age student at a Technical and Further Education (TAFE) institution is considered school education.
Include non-school qualifications (such as Certificate I) completed by parents/guardians when at school. 
",Data is valid to 1 numeral only. Data is categorical; entries other than prescribed are not valid.,"SCSEEC 2010 Data Standards Manual
Isn't there an ABS Standard?","Enrolment Frame
16 - Parent/Guardian 1 School Education (PG_SCHED1) 
17 - Parent/Guardian 2 School Education (PG_SCHED2) 
18 - Parent/Guardian 1 Highest Non School Education or Qualification (PG_NSCHED1) 
Enrolment Derived
6 - Highest Education Attainment of Parent/Guardian 1 (PGD_PGED1)
7 - Highest Education Attainment of Parent/Guardian 2 (PGD_PGED2)",,,School Enrolling Student,,,,StudentPersonal,MostRecent/Parent2NonSchoolEducation,Descriptor,Student,,,,,,,,,,,,,,,,
27,NSSC URL,20,Enrolment,Raw,Parent/Guardian 1 Occupation Group,The current occupation of employed work of parent/guardian 1.,PG_OCG1,All Active Enrolments,"Categorical, Numeric",1,"N
1  = Senior management in large business organisation, government   administration and defence, and qualified professionals
2  = Other business managers, arts/media/sportspersons and associate professionals
3  = Tradesmen/women, clerks and skilled office, sales and service staff
4  = Machine operators, hospitality staff, assistants, labourers and related workers
8  = Not in paid work in last 12 months
9  = Not stated/unknown","If the person is not currently in paid work but has had a job in the last 12 months or has retired in the last 12 months, use the person’s last occupation. If the person has not been in paid work in the last 12 months, enter 8. If the person has left the field blank, or the occupation is unknown, enter 9.",Data is valid to 1 numeral only. Data is categorical; entries other than prescribed are not valid.,"SCSEEC 2010 Data Standards Manual
Isn't there an ABS Standard?","Enrolment Frame
21 -Parent/Guardian 2 Occupation Group
Enrolment Derived ICSEA? For school",,,School Enrolling Student,,,,StudentPersonal,MostRecent/Parent1EmploymentType,Descriptor,Student,,,,,,,,,,,,,,,,
28,NSSC URL,21,Enrolment,Raw,Parent/Guardian 2 Occupation Group,The current occupation of employed work of parent/guardian 2.,PG_OCG2,All Active Enrolments,"Categorical, Numeric",1,"N
1  = Senior management in large business organisation, government   administration and defence, and qualified professionals
2  = Other business managers, arts/media/sportspersons and associate professionals
3  = Tradesmen/women, clerks and skilled office, sales and service staff
4  = Machine operators, hospitality staff, assistants, labourers and related workers
8  = Not in paid work in last 12 months
9  = Not stated/unknown","If the person is not currently in paid work but has had a job in the last 12 months or has retired in the last 12 months, use the person’s last occupation. If the person has not been in paid work in the last 12 months, enter 8. If the person has left the field blank, or the occupation is unknown, enter 9.",Data is valid to 1 numeral only. Data is categorical; entries other than prescribed are not valid.,"SCSEEC 2010 Data Standards Manual
Isn't there an ABS Standard?","Enrolment Frame
20 -Parent/Guardian 1 Occupation Group
Enrolment Derived ICSEA? For School",,,School Enrolling Student,,,,StudentPersonal,MostRecent/Parent2EmploymentType,Descriptor,Student,,,,,,,,,,,,,,,,
29,NSSC URL,22,Enrolment,Raw,Parent/Guardian 1 Main Language other than English sopken at home,"The main language other than English, spoken in the home by parent/guardian 1.",PG_MLSH1,All Active Enrolments,"Categorical, Numeric",4,"NNNN
The ‘Main Language other than English’ is a 4-digit, three level hierarchical coding structure using the ABS: Australian Standard Classification of Languages (ASCL) second edition (ABS cat.no. 1267.0).
Common codes:
0000 – Inadequately described
0001 – Non verbal, so described
0002 – Not stated
1201 – English","The SCSEEC 2010 Data Standards Manual provides a number of options for the main language other than English spoken at home question that can be included on enrolment forms. Options reflect a standard set of questions, or individualised questions for each state based on common countries of birth by state and territory as identified in the 2006 Population Census.
All question modules from the standard use the ABS: ASCL.
Country of birth is a hierarchical 4 digit category broken down by:
• First digit = Broad Group
• Second digit = Narrow Group
• Third and Fourth digit = Detailed Level.
As a hierarchical structure, if one level is known, all levels above that level are also known.
If English Only and another language are selected, the response should be coded to the first language other than English specified.
If the student speaks more than one language at home (not including English), Main Language other than English is the language the student speaks most often. If this cannot be identified then code the first language identified.
Not further defined codes are included in the standard. Not further defined codes include leading zeros.
For example:
If the Broad Group only is known (e.g. Northern European Languages) then 1000 is recorded showing the 1 that identifies the Broad Group and 000 which identifies the unknown Narrow Group and Detailed Level.
If the Detailed Level is known (e.g. Irish) then  1102 is recorded for Irish which also identifies the Narrow Group (11 - Celtic)  and the Broad Group (1 – Northern European Languages)","Data is valid to 4 numerals only. Data is categorical; entries other than prescribed in the ASCL are not valid.

Entries that would otherwise meet a ‘not further defined’ code with leading zeros will be treated as that code.","Australian Standard Classification of Languages (ASCL) Second Edition, (ABS cat. no. 1267.0).

SCSEEC 2010 Data Standards Manual","Enrolment Frame
15 - Student's Main Language other than English Spoken at Home (EN_MLSH) 
23 - Parent/Guardian 2 Main Language other than English Spoken at Home (PG_MLSH2) 

Enrolment Derived
5 - Language Background Indicator (END_LBI)",,,School Enrolling Student,,,,StudentPersonal,MostRecent/Parent1Language,Descriptor,Student,,,,,,,,,,,,,,,,
30,NSSC URL,23,Enrolment,Raw,Parent/Guardian 2 Main Language other than English sopken at home,"The main language other than English, spoken in the home by parent/guardian 2.",PG_MLSH2,All Active Enrolments,"Categorical, Numeric",4,"NNNN
The ‘Main Language other than English’ is a 4-digit, three level hierarchical coding structure using the ABS: Australian Standard Classification of Languages (ASCL) second edition (ABS cat.no. 1267.0).
Common codes:
0000 – Inadequately described
0001 – Non verbal, so described
0002 – Not stated
1201 – English","The SCSEEC 2010 Data Standards Manual provides a number of options for the main language other than English spoken at home question that can be included on enrolment forms. Options reflect a standard set of questions, or individualised questions for each state based on common countries of birth by state and territory as identified in the 2006 Population Census.
All question modules from the standard use the ABS: ASCL.
Country of birth is a hierarchical 4 digit category broken down by:
• First digit = Broad Group
• Second digit = Narrow Group
• Third and Fourth digit = Detailed Level.
As a hierarchical structure, if one level is known, all levels above that level are also known.
If English Only and another language are selected, the response should be coded to the first language other than English specified.
If the student speaks more than one language at home (not including English), Main Language other than English is the language the student speaks most often. If this cannot be identified then code the first language identified.
Not further defined codes are included in the standard. Not further defined codes include leading zeros.
For example:
If the Broad Group only is known (e.g. Northern European Languages) then 1000 is recorded showing the 1 that identifies the Broad Group and 000 which identifies the unknown Narrow Group and Detailed Level.
If the Detailed Level is known (e.g. Irish) then  1102 is recorded for Irish which also identifies the Narrow Group (11 - Celtic)  and the Broad Group (1 – Northern European Languages)","Data is valid to 4 numerals only. Data is categorical; entries other than prescribed in the ASCL are not valid.

Entries that would otherwise meet a ‘not further defined’ code with leading zeros will be treated as that code.","Australian Standard Classification of Languages (ASCL) Second Edition, (ABS cat. no. 1267.0).

SCSEEC 2010 Data Standards Manual","Enrolment Frame
15 - Student's Main Language other than English Spoken at Home (EN_MLSH) 
22 - Parent/Guardian 1 Main Language other than English Spoken at Home (PG_MLSH1) 

Enrolment Derived
5 - Language Background Indicator (END_LBI)",,,School Enrolling Student,,,,StudentPersonal,MostRecent/Parent2Language,Descriptor,Student,,,,,,,,,,,,,,,,
31,NSSC URL,24,Enrolment,Raw,Australian Government Department of Education and TrainingSchool ID,A unique identification number allocated to registered schools by the Australian Government Department of Education. Formally DEEWR School ID and SCH_DEEWRID.,SCH_DETID,All Active Enrolments,Numeric,5,NNNNN,"Enter the school identification number as recorded in the enrolment system.  The code was developed by the Australian Government Department of Education and allocated by the Australian government.
The allowance for data entered into this field is valid to a maximum of five digits. The range for this field is 00001 to 99999.
Entries of more than five digits, blank spaces and alphabetic characters will not be valid.
Impact of ASL? Can use local SchoolID and output AGSchoolID?",Data is valid to 5 numerals only,N/A,"School Frame
5 - DET School ID (SCH_DETID)

1 - System School ID (SCH_SYSID)
3 - School Name (SCH_NAME)
Other School ids?",,"ASL? School identifiers? Automation? 
Categorical, Numeric? String? Identifiers not usually numeric due to leading 0s May not be known to school SIS",School Enrolling Student,,,,SchoolInfo,CommonwealthId,Identifier,,,,,,,,,,,,,,,,,
32,NSSC URL,1,School,Raw,System School ID,A unique authorisation number allocated to registered schools by the system administering those schools.,SCH_SYSID,All in-scope schools,String,,[x(*)] string of various alpha-numeric length,Length and composition of the System School ID may vary between systems Impact of ASL?,N/A,N/A,"Enrolment Frame
11 - System School ID (SCH_SYSID) 
12 - System School Campus ID (SCH_SYSCMPSID) 
School Frame
2 - System School Campus ID (SCH_SYSCMPSID)
3 - School Name (SCH_NAME)
School Derived
All school derived elements would be derived based on System School ID.
Other School ids?",,,School Registration Board in each jurisdiction,ASL,,,SchoolInfo,StateProvinceId,Identifier,School,,,,,,,,,,,,,,,,
33,NSSC URL,2,School,Raw,System School Campus ID,A unique authorisation number allocated to a registered school campus by the system administering the school.,SCH_SYSCMPSID,All in-scope school campuses,String,,[x(*)] string of various alpha-numeric length,Length and composition of the System SchoolCampus ID may vary between systems. Impact of ASL?,N/A,N/A,"Enrolment Frame
11 - System School ID (SCH_SYSID) 
12 - System School Campus ID (SCH_SYSCMPSID) 
School Frame
1 - System School ID (SCH_SYSID)
3 - School Name (SCH_NAME)
Other School ids?",,"No campus name, no relationship between school and campus, main campus etc",School Registration Board in each jurisdiction,ASL,,,SchoolInfo,Campus/SchoolCampusId,Identifier,School,,,,,,,,,,,,,,,,
34,NSSC URL,3,School,Raw,School Name,The official title of the registered school.,SCH_NAME,All in-scope schools,Alphanumeric String,200,[x(200)] 0-200 characters,All schools are registered under a name recognised by the departments of education in each jurisdiction. This is defined by the Conference of Education Systems Chief Executive Officers.,Data is valid up to 200 alphanumeric string only.,N/A,"School Frame
1 - System School ID (SCH_SYSID) 
2 - System School Campus ID (SCH_SYSCMPSID)
Other School ids?",,This section Needs a NIMF makeover,School Registration Board in each jurisdiction,ASL,,,SchoolInfo,SchoolName,Identifying,School,,,,,,,,,,,,,,,,
35,NSSC URL,4,School,Derived,School Type,"The level and type of school based on the enrolments at the school.
School types are:
• Primary Schools – schools with only primary enrolments
• Secondary Schools – schools with only secondary enrolments
• Combined Schools – schools with both primary and secondary enrolments
• Special Schools (or Special Assistance Schools) – schools with only special enrolments

",SCH_TYPE,All in-scope schools,"Categorical, Numeric",1,"N
1 = Primary
2 = Secondary
3 = Combined
4 = Special",School type should be determined based on the NSSC enrolments at that school. See the NIT for further school definitions,Data is valid to 1 numeral only. Data is categorical; entries other than prescribed are not valid.,N/A,"Enrolment Frame
8 - Grade of Student’s Enrolment (EN_GRADE)
13 - Main School Flag (EN_MNSCHFLG)

School Derived
3 - Education Provider High Grade (EPR_HIGHGRADE)
4 - Education Provider Low Grade (EPR_LOWGRADE)",,"What about Campus type? Authoritative sources? Other?
Derived from enrolments of students, not what is authorised from regulator",,ASL?,,,SchoolInfo,Campus/CampusType,Descriptor,School,,,,,,,,,,,,,,,,
36,NSSC URL,5,School,Raw,DET School ID,The unique identification number allocated to registered schools by the Australian Government Department of Educationand Training. Formally DEEWR School ID and SCH_DEEWRID.,SCH_DETID,All in-scope schools,Numeric,5,NNNNN,"Enter the school identification number as recorded in the enrolment system.  The code was developed by the Australian Government Department of Education and Training and allocated by the Australian government.
The allowance for data entered into this field is valid to a maximum of five digits. The range for this field is 00001 to 99999.
Entries of more than five digits, blank spaces and alphabetic characters will not be valid.
Impact of ASL? Can use local SchoolID and output AGSchoolID?",Data is valid to 5 numerals only,N/A,"Enrolment Frame
24 - DET_School ID (SCH_DETID)

School Frame
1 - System School ID (SCH_SYSID)
3 - School Name (SCH_NAME)

Other School ids?",,"ASL? School identifiers? Automation? 
Categorical, Numeric? String? Identifiers not usually numeric due to leading 0s May not be known to school SIS",AG? ,ASL,,,SchoolInfo,CommonwealthId,Identifier,School,,,,,,,,,,,,,,,,
37,NSSC URL,6,School,Derived,ARIA Status,A measure of the school’s level of remoteness represented using the Remoteness Structure and Remoteness Area code from the ASGS determined by using the Accessibility/Remoteness Index of Australia (ARIA).,SCH_ARIA,All in-scope schools,"Categorical, Numeric",,"NNN
0 = Major Cities of Australia
1 = Inner Regional Australia
2 = Outer Regional Australia
3 = Remote Australia
4 = Very Remote Australia
9 = Not provided / Not Stated","The ARIA remoteness is based on six remoteness zones based on the ARIA index for a given geographic area as below.
• Major Cities of Australia: SA1s with an average Accessibility/Remoteness Index of Australia (ARIA) index value of 0 to 0.2
• Inner Regional Australia: SA1s with an average ARIA index value greater than 0.2 and less than or equal to 2.4
• Outer Regional Australia: SA1s with an average ARIA index value greater than 2.4 and less than or equal to 5.92
• Remote Australia: SA1s with an average ARIA index value greater than 5.92 and less than or equal to 10.53
• Very Remote Australia: SA1s with an average ARIA index value greater than 10.53
• Migratory: composed of off-shore, shipping and migratory SA1s",Data is valid to 2 numerals only. Data is categorical; entries other than prescribed are not valid.,"ABS: Australian Statistical Geography Standard (ASGS) 2011

The University of Adelaide – Australian Population and Migration Research Centre: ARIA and Accessibility","School Frame
7 - SCSEEC Remoteness Status (SCH_MCRMT)",,"Actually derived from physical address…
SA1 is? http://www.abs.gov.au/ausstats/abs@.nsf/0/7CAFD05E79EB6F81CA257801000C64CD?opendocument
Can relate to school or campus or site…",,ASL,,,SchoolInfo,ARIA,Derived,School,,,,,,,,,,,,,,,,
38,NSSC URL,7,School,Derived,SCSEEC Remoteness Status,A measure of the school’s level of remoteness,SCH_MCRMT,All in-scope schools,"Categorical, Numeric",3,"NNN
110   =  Metropolitan Zone Mainland State Capital City regions
120   =  Metropolitan Zone Major urban Statistical Districts
211 =  Provincial Zone Provincial City Statistical Districts 50,000 to  99,999
212 =  Provincial Zone Provincial City Statistical Districts 25,000 to 49,999
221 =  Provincial Zone Inner provincial areas
222 =  Provincial Zone Outer provincial areas
310   =  Remote Zone Remote areas
320   =  Remote Zone Very Remote areas","The SCSEEC remoteness indicator is based on three remoteness Zones: Metropolitan, Provincial and Remote.
• Metropolitan refers to Mainland State Capital City mainland and city-based areas and Major urban Statistical Districts. Metropolitan codes begin with 1.
• Provincial refers to central and regional areas. The Provincial codes start with 2.
• Remote refers to isolated and highly remote areas. Remote codes begin with 3.
For reporting purposes Remote and Very Remote areas are sometimes reported separately.",Data is valid to 3 numerals only. Data is categorical; entries other than prescribed are not valid.,"MCEETYA Schools Geographic Location Classification, 2001","School Frame
6 - ARIA Status (SCH_ARIA)",,"Actually derived from physical address…
mapped to Statistical districts
Can relate to school or campus or site…",School Registration Board in each jurisdiction,ASL,,,SchoolInfo,SchoolGeographicLocation,Derived,School,,,,,,,,,,,,,,,,
39,NSSC URL,8,School,Raw,School Address - Apartment/Flat number,The apartment/flat number of the school’s physical address,SCH_APPNO,All in-scope schools,String,5,"[x(5)] 0 - 5 characters
For “Not Applicable” or “Not provided” responses, leave blank.","From the address line, record the information which identifies the apartment/flat number of the school. 
Address line information may include apartment/flat/unit number (if any); house/property number/street name.
When combined with other school address elements this information enables identification of the school’s physical address.
A complete identification/description of an address can comprise of one or more than one instance of address line. Instances of address lines are commonly identified in electronic information systems as Address-line 1, Address-line 2, etc. 
The format of data collection is less important than consistent use of conventions in recording address data. Hence, address may be collected in an unstructured manner but should ideally be stored in a structured format. 
Where address line is collected as a stand-alone item, the address line details should be separated into sub-components. Multiple address lines may be recorded as required. 
Where the address is unknown, identify the reason for the unknown response and document any follow-up processes undertaken.
If a jurisdiction is able to accurately code address to SA1 and provide detailed information on coding process and validations made, there is no requirement to provide this data element.",Data is valid to a 5 alpha-numeric string,ABS: Census Dictionary,"School Frame
9 to 14 - School Address Elements 
15 - Education Provider Geographic Location Statistical Area 1 Code (SCH_ASGS_SA1)",,"ABS: Census Dictionary http://www.abs.gov.au/ausstats/abs@.nsf/mf/2901.0
Classifications can be derived from geo-coding of school physical address, or campus, or site",School Registration Board in each jurisdiction,ASL,,,SchoolInfo,AddressList/Street/ApartmentNumber,Descriptor,School,,,,,,,,,,,,,,,,
40,NSSC URL,9,School,Raw,School Address - Street number,The street number of the school’s physical address,SCH_STRTNO,All in-scope schools,String,5,"[x(5)] 0 - 5 characters
For “Not Applicable” or “Not provided” responses, leave blank.","From the address line, record the information which identifies the street number of the school. 
Address line information may include apartment/flat/unit number (if any); house/property number/street name.
When combined with other school address elements this information enables identification of the school’s physical address.
A complete identification/description of an address can comprise of one or more than one instance of address line. Instances of address lines are commonly identified in electronic information systems as Address-line 1, Address-line 2, etc. 
The format of data collection is less important than consistent use of conventions in recording address data. Hence, address may be collected in an unstructured manner but should ideally be stored in a structured format. 
Where address line is collected as a stand-alone item, the address line details should be separated into sub-components. Multiple address lines may be recorded as required. 
Where the address is unknown, identify the reason for the unknown response and document any follow-up processes undertaken.
If a jurisdiction is able to accurately code address to SA1 and provide detailed information on coding process and validations made, there is no requirement to provide this data element.",Data is valid to a 5 alpha-numeric string,ABS: Census Dictionary,"School Frame
9 to 14 - School Address Elements 
15 - Education Provider Geographic Location Statistical Area 1 Code (SCH_ASGS_SA1)",,"ABS: Census Dictionary http://www.abs.gov.au/ausstats/abs@.nsf/mf/2901.0
Classifications can be derived from geo-coding of school physical address, or campus, or site",School Registration Board in each jurisdiction,ASL,,,SchoolInfo,AddressList/Street/StreetNumber,Descriptor,School,,,,,,,,,,,,,,,,
41,NSSC URL,10,School,Raw,School Address - Street name,The street name of the school’s physical address,SCH_STRTNM,All in-scope schools,String,18,"[x(18)] 0 - 18 characters
For “Not Applicable” or “Not provided” responses, leave blank.","From the address line, record the information which identifies the street number of the school. 
Address line information may include apartment/flat/unit number (if any); house/property number/street name.
When combined with other school address elements this information enables identification of the school’s physical address.
A complete identification/description of an address can comprise of one or more than one instance of address line. Instances of address lines are commonly identified in electronic information systems as Address-line 1, Address-line 2, etc. 
The format of data collection is less important than consistent use of conventions in recording address data. Hence, address may be collected in an unstructured manner but should ideally be stored in a structured format. 
Where address line is collected as a stand-alone item, the address line details should be separated into sub-components. Multiple address lines may be recorded as required. 
Where the address is unknown, identify the reason for the unknown response and document any follow-up processes undertaken.
If a jurisdiction is able to accurately code address to SA1 and provide detailed information on coding process and validations made, there is no requirement to provide this data element.",Data is valid to a 18 alpha-numeric string,ABS: Census Dictionary,"School Frame
9 to 14 - School Address Elements 
15 - Education Provider Geographic Location Statistical Area 1 Code (SCH_ASGS_SA1)",,"ABS: Census Dictionary http://www.abs.gov.au/ausstats/abs@.nsf/mf/2901.0
Classifications can be derived from geo-coding of school physical address, or campus, or site",School Registration Board in each jurisdiction,ASL,,,SchoolInfo,AddressList/Street/StreetName,Descriptor,School,,,,,,,,,,,,,,,,
